z2	pavs	ts(V1[1])[0, ::]
5.00000000000000000E1	4.74074074074074050E-2	-5.67984232491981360E0
5.00000000000000000E1	4.81481481481481490E-2	-9.16552267913347940E0
5.00000000000000000E1	4.88888888888888840E-2	-1.25066572654793570E1
5.00000000000000000E1	4.96296296296296280E-2	-1.56505543956337110E1
5.00000000000000000E1	5.03703703703703810E-2	-1.85476329337809040E1
5.00000000000000000E1	5.11111111111111070E-2	-2.11522042207435050E1
5.00000000000000000E1	5.18518518518518510E-2	-2.34231926114306700E1
5.00000000000000000E1	5.25925925925925950E-2	-2.53247832622985310E1
5.00000000000000000E1	5.33333333333333300E-2	-2.68269869528277250E1
5.00000000000000000E1	5.40740740740740740E-2	-2.79061130334456120E1
5.00000000000000000E1	5.48148148148148100E-2	-2.85451430412221720E1
5.00000000000000000E1	5.55555555555555540E-2	-2.87339990911967560E1
5.00000000000000000E1	5.62962962962962980E-2	-2.84697028106441200E1
5.00000000000000000E1	5.70370370370370330E-2	-2.77564223097915260E1
5.00000000000000000E1	5.77777777777777680E-2	-2.66054064482305330E1
5.00000000000000000E1	5.85185185185185120E-2	-2.50348074336815070E1
5.00000000000000000E1	5.92592592592592560E-2	-2.30693945508342680E1
5.00000000000000000E1	6.00000000000000000E-2	-2.07401635349320610E1
5.00000000000000000E1	6.07407407407407440E-2	-1.80838477505108200E1
5.00000000000000000E1	6.14814814814814790E-2	-1.51423388842970090E1
5.00000000000000000E1	6.22222222222222230E-2	-1.19620262882830410E1
5.00000000000000000E1	6.29629629629629580E-2	-8.59306539193471330E0
5.00000000000000000E1	6.37037037037037020E-2	-5.08858672110712810E0
5.00000000000000000E1	6.44444444444444380E-2	-1.50385799791331730E0
5.00000000000000000E1	6.51851851851851820E-2	2.10458746426880830E0
5.00000000000000000E1	6.59259259259259340E-2	5.67984232491980380E0
5.00000000000000000E1	6.66666666666666610E-2	9.16552267913347410E0
5.00000000000000000E1	6.74074074074074050E-2	1.25066572654793550E1
5.00000000000000000E1	6.81481481481481310E-2	1.56505543956337130E1
5.00000000000000000E1	6.88888888888888930E-2	1.85476329337809040E1
5.00000000000000000E1	6.96296296296296190E-2	2.11522042207435180E1
5.00000000000000000E1	7.03703703703703630E-2	2.34231926114306740E1
5.00000000000000000E1	7.11111111111111160E-2	2.53247832622985450E1
5.00000000000000000E1	7.18518518518518420E-2	2.68269869528277380E1
5.00000000000000000E1	7.25925925925925860E-2	2.79061130334456300E1
5.00000000000000000E1	7.33333333333333390E-2	2.85451430412221980E1
5.00000000000000000E1	7.40740740740740660E-2	2.87339990911967820E1


